layer,proj,channel,selected_count,is_scale_topk,is_frequency_topk
7,up_proj,141,0,0,0
7,up_proj,142,0,0,0
7,up_proj,143,0,0,0
7,up_proj,144,0,0,0
7,up_proj,145,0,0,0
7,up_proj,146,0,0,0
7,up_proj,147,0,0,0
7,up_proj,148,0,0,0
7,up_proj,149,0,0,0
7,up_proj,150,0,0,0
7,up_proj,151,0,0,0
7,up_proj,152,0,0,0
7,up_proj,153,0,0,0
7,up_proj,154,0,0,0
7,up_proj,155,0,0,0
7,up_proj,156,0,0,0
7,up_proj,157,0,0,0
7,up_proj,158,0,0,0
7,up_proj,159,0,0,0
7,up_proj,160,0,0,0
7,up_proj,161,0,0,0
7,up_proj,162,63,1,1
7,up_proj,163,0,0,0
7,up_proj,164,0,0,0
7,up_proj,165,0,0,0
7,up_proj,166,0,0,0
7,up_proj,167,0,0,0
7,up_proj,168,0,0,0
7,up_proj,169,0,0,0
7,up_proj,170,0,0,0
7,up_proj,171,0,0,0
7,up_proj,172,54,1,1
7,up_proj,173,0,0,0
7,up_proj,174,0,0,0
7,up_proj,175,0,0,0
7,up_proj,176,0,0,0
7,up_proj,177,0,0,0
7,up_proj,178,0,0,0
7,up_proj,179,0,0,0
7,up_proj,180,0,0,0
7,up_proj,181,0,0,0
7,up_proj,182,0,0,0
7,up_proj,183,0,0,0
7,up_proj,184,0,0,0
7,up_proj,185,15,0,0
7,up_proj,186,0,0,0
7,up_proj,187,0,0,0
7,up_proj,188,0,0,0
7,up_proj,189,0,0,0
7,up_proj,190,0,0,0
7,up_proj,191,0,0,0
7,up_proj,192,0,0,0
7,up_proj,193,0,0,0
7,up_proj,194,0,0,0
7,up_proj,195,0,0,0
7,up_proj,196,0,0,0
7,up_proj,197,0,0,0
7,up_proj,198,7,0,0
7,up_proj,199,0,0,0
7,up_proj,200,0,0,0
7,up_proj,201,0,0,0
7,up_proj,202,0,0,0
7,up_proj,203,0,0,0
7,up_proj,204,0,0,0
7,up_proj,205,0,0,0
7,up_proj,206,0,0,0
7,up_proj,207,0,0,0
7,up_proj,208,0,0,0
7,up_proj,209,0,0,0
7,up_proj,210,0,0,0
7,up_proj,211,0,0,0
7,up_proj,212,0,0,0
7,up_proj,213,0,0,0
7,up_proj,214,0,0,0
7,up_proj,215,0,0,0
7,up_proj,216,0,0,0
7,up_proj,217,0,0,0
7,up_proj,218,0,0,0
7,up_proj,219,0,0,0
7,up_proj,220,64,1,1
7,up_proj,221,0,0,0
7,up_proj,222,3,0,0
7,up_proj,223,0,0,0
7,up_proj,224,0,0,0
7,up_proj,225,0,0,0
7,up_proj,226,0,0,0
7,up_proj,227,0,0,0
7,up_proj,228,0,0,0
7,up_proj,229,0,0,0
7,up_proj,230,0,0,0
7,up_proj,231,0,0,0
7,up_proj,232,0,0,0
7,up_proj,233,0,0,0
7,up_proj,234,0,0,0
7,up_proj,235,0,0,0
7,up_proj,236,1,0,0
7,up_proj,237,0,0,0
7,up_proj,238,0,0,0
7,up_proj,239,0,0,0
7,up_proj,240,0,0,0
7,up_proj,241,0,0,0
7,up_proj,242,0,0,0
7,up_proj,243,0,0,0
7,up_proj,244,0,0,0
7,up_proj,245,0,0,0
7,up_proj,246,0,0,0
7,up_proj,247,0,0,0
7,up_proj,248,0,0,0
7,up_proj,249,0,0,0
7,up_proj,250,0,0,0
7,up_proj,251,0,0,0
7,up_proj,252,0,0,0
7,up_proj,253,0,0,0
7,up_proj,254,0,0,0
7,up_proj,255,0,0,0
7,up_proj,256,0,0,0
7,up_proj,257,0,0,0
7,up_proj,258,0,0,0
7,up_proj,259,0,0,0
7,up_proj,260,0,0,0
7,up_proj,261,0,0,0
7,up_proj,262,0,0,0
7,up_proj,263,0,0,0
7,up_proj,264,0,0,0
7,up_proj,265,0,0,0
7,up_proj,266,0,0,0
7,up_proj,267,63,1,1
7,up_proj,268,0,0,0
7,up_proj,269,0,0,0
7,up_proj,270,0,0,0
7,up_proj,271,0,0,0
7,up_proj,272,0,0,0
7,up_proj,273,0,0,0
7,up_proj,274,0,0,0
7,up_proj,275,0,0,0
7,up_proj,276,0,0,0
7,up_proj,277,0,0,0
7,up_proj,278,0,0,0
7,up_proj,279,0,0,0
7,up_proj,280,0,0,0
7,up_proj,281,0,0,0
7,up_proj,282,0,0,0
7,up_proj,283,0,0,0
7,up_proj,284,0,0,0
7,up_proj,285,0,0,0
7,up_proj,286,3,0,0
7,up_proj,287,0,0,0
7,up_proj,288,0,0,0
7,up_proj,289,64,1,1
7,up_proj,290,0,0,0
7,up_proj,291,0,0,0
7,up_proj,292,64,1,1
7,up_proj,293,0,0,0
7,up_proj,294,0,0,0
7,up_proj,295,0,0,0
7,up_proj,296,0,0,0
7,up_proj,297,0,0,0
7,up_proj,298,0,0,0
7,up_proj,299,0,0,0
7,up_proj,300,0,0,0
7,up_proj,301,0,0,0
7,up_proj,302,0,0,0
7,up_proj,303,0,0,0
7,up_proj,304,0,0,0
7,up_proj,305,0,0,0
7,up_proj,306,0,0,0
7,up_proj,307,0,0,0
7,up_proj,308,0,0,0
7,up_proj,309,0,0,0
7,up_proj,310,0,0,0
7,up_proj,311,0,0,0
7,up_proj,312,0,0,0
7,up_proj,313,0,0,0
7,up_proj,314,0,0,0
7,up_proj,315,2,0,0
7,up_proj,316,0,0,0
7,up_proj,317,0,0,0
7,up_proj,318,37,1,1
7,up_proj,319,0,0,0
7,up_proj,320,7,0,0
7,up_proj,321,0,0,0
7,up_proj,322,0,0,0
7,up_proj,323,0,0,0
7,up_proj,324,0,0,0
7,up_proj,325,0,0,0
7,up_proj,326,0,0,0
7,up_proj,327,0,0,0
7,up_proj,328,0,0,0
7,up_proj,329,0,0,0
7,up_proj,330,0,0,0
7,up_proj,331,0,0,0
7,up_proj,332,0,0,0
7,up_proj,333,0,0,0
7,up_proj,334,0,0,0
7,up_proj,335,0,0,0
7,up_proj,336,0,0,0
7,up_proj,337,0,0,0
7,up_proj,338,0,0,0
7,up_proj,339,0,0,0
7,up_proj,340,0,0,0
7,up_proj,341,0,0,0
7,up_proj,342,0,0,0
7,up_proj,343,0,0,0
7,up_proj,344,0,0,0
7,up_proj,345,0,0,0
7,up_proj,346,0,0,0
7,up_proj,347,60,1,1
7,up_proj,348,0,0,0
7,up_proj,349,0,0,0
7,up_proj,350,0,0,0
7,up_proj,351,0,0,0
7,up_proj,352,0,0,0
7,up_proj,353,0,0,0
7,up_proj,354,0,0,0
7,up_proj,355,2,0,0
7,up_proj,356,0,0,0
7,up_proj,357,6,0,0
7,up_proj,358,5,0,0
7,up_proj,359,0,0,0
7,up_proj,360,0,0,0
7,up_proj,361,0,0,0
7,up_proj,362,0,0,0
7,up_proj,363,0,0,0
7,up_proj,364,1,0,0
7,up_proj,365,0,0,0
7,up_proj,366,0,0,0
7,up_proj,367,0,0,0
7,up_proj,368,0,0,0
7,up_proj,369,0,0,0
7,up_proj,370,0,0,0
7,up_proj,371,0,0,0
7,up_proj,372,0,0,0
7,up_proj,373,0,0,0
7,up_proj,374,0,0,0
7,up_proj,375,0,0,0
7,up_proj,376,0,0,0
7,up_proj,377,0,0,0
7,up_proj,378,0,0,0
7,up_proj,379,63,1,1
7,up_proj,380,0,0,0
7,up_proj,381,0,0,0
7,up_proj,382,0,0,0
7,up_proj,383,0,0,0
7,up_proj,384,0,0,0
7,up_proj,385,0,0,0
7,up_proj,386,0,0,0
7,up_proj,387,0,0,0
7,up_proj,388,10,0,0
7,up_proj,389,0,0,0
7,up_proj,390,0,0,0
7,up_proj,391,0,0,0
7,up_proj,392,0,0,0
7,up_proj,393,0,0,0
7,up_proj,394,0,0,0
7,up_proj,395,0,0,0
7,up_proj,396,4,0,0
7,up_proj,397,0,0,0
7,up_proj,398,0,0,0
7,up_proj,399,0,0,0
7,up_proj,400,0,0,0
7,up_proj,401,1,0,0
7,up_proj,402,0,0,0
7,up_proj,403,0,0,0
7,up_proj,404,0,0,0
7,up_proj,405,21,0,0
7,up_proj,406,0,0,0
7,up_proj,407,0,0,0
7,up_proj,408,0,0,0
7,up_proj,409,0,0,0
7,up_proj,410,0,0,0
7,up_proj,411,0,0,0
7,up_proj,412,0,0,0
7,up_proj,413,0,0,0
7,up_proj,414,0,0,0
7,up_proj,415,0,0,0
7,up_proj,416,0,0,0
7,up_proj,417,0,0,0
7,up_proj,418,3,0,0
7,up_proj,419,0,0,0
7,up_proj,420,0,0,0
7,up_proj,421,0,0,0
7,up_proj,422,0,0,0
7,up_proj,423,0,0,0
7,up_proj,424,0,0,0
7,up_proj,425,0,0,0
7,up_proj,426,0,0,0
7,up_proj,427,0,0,0
7,up_proj,428,0,0,0
7,up_proj,429,0,0,0
