layer,proj,channel,selected_count,is_scale_topk,is_frequency_topk
0,up_proj,211,0,0,0
0,up_proj,212,0,0,0
0,up_proj,213,0,0,0
0,up_proj,214,0,0,0
0,up_proj,215,43,1,1
0,up_proj,216,0,0,0
0,up_proj,217,0,0,0
0,up_proj,218,0,0,0
0,up_proj,219,0,0,0
0,up_proj,220,0,0,0
0,up_proj,221,0,0,0
0,up_proj,222,0,0,0
0,up_proj,223,0,0,0
0,up_proj,224,64,1,1
0,up_proj,225,0,0,0
0,up_proj,226,0,0,0
0,up_proj,227,0,0,0
0,up_proj,228,0,0,0
0,up_proj,229,0,0,0
0,up_proj,230,0,0,0
0,up_proj,231,0,0,0
0,up_proj,232,0,0,0
0,up_proj,233,0,0,0
0,up_proj,234,0,0,0
0,up_proj,235,0,0,0
0,up_proj,236,0,0,0
0,up_proj,237,15,0,0
0,up_proj,238,0,0,0
0,up_proj,239,0,0,0
0,up_proj,240,3,0,0
0,up_proj,241,0,0,0
0,up_proj,242,0,0,0
0,up_proj,243,0,0,0
0,up_proj,244,0,0,0
0,up_proj,245,0,0,0
0,up_proj,246,0,0,0
0,up_proj,247,2,0,0
0,up_proj,248,0,0,0
0,up_proj,249,0,0,0
0,up_proj,250,23,0,0
0,up_proj,251,0,0,0
0,up_proj,252,0,0,0
0,up_proj,253,0,0,0
0,up_proj,254,0,0,0
0,up_proj,255,0,0,0
0,up_proj,256,0,0,0
0,up_proj,257,0,0,0
0,up_proj,258,0,0,0
0,up_proj,259,0,0,0
0,up_proj,260,0,0,0
0,up_proj,261,0,0,0
0,up_proj,262,0,0,0
0,up_proj,263,0,0,0
0,up_proj,264,0,0,0
0,up_proj,265,0,0,0
0,up_proj,266,0,0,0
0,up_proj,267,0,0,0
0,up_proj,268,0,0,0
0,up_proj,269,0,0,0
0,up_proj,270,0,0,0
0,up_proj,271,0,0,0
0,up_proj,272,0,0,0
0,up_proj,273,0,0,0
0,up_proj,274,0,0,0
0,up_proj,275,0,0,0
0,up_proj,276,0,0,0
0,up_proj,277,0,0,0
0,up_proj,278,7,0,0
0,up_proj,279,0,0,0
0,up_proj,280,9,0,0
0,up_proj,281,0,0,0
0,up_proj,282,0,0,0
0,up_proj,283,0,0,0
0,up_proj,284,0,0,0
0,up_proj,285,0,0,0
0,up_proj,286,0,0,0
0,up_proj,287,0,0,0
0,up_proj,288,0,0,0
0,up_proj,289,0,0,0
0,up_proj,290,0,0,0
0,up_proj,291,0,0,0
0,up_proj,292,62,1,1
0,up_proj,293,0,0,0
0,up_proj,294,0,0,0
0,up_proj,295,30,1,1
0,up_proj,296,0,0,0
0,up_proj,297,0,0,0
0,up_proj,298,0,0,0
0,up_proj,299,0,0,0
0,up_proj,300,0,0,0
0,up_proj,301,0,0,0
0,up_proj,302,0,0,0
0,up_proj,303,0,0,0
0,up_proj,304,0,0,0
0,up_proj,305,0,0,0
0,up_proj,306,0,0,0
0,up_proj,307,0,0,0
0,up_proj,308,0,0,0
0,up_proj,309,0,0,0
0,up_proj,310,0,0,0
0,up_proj,311,0,0,0
0,up_proj,312,0,0,0
0,up_proj,313,0,0,0
0,up_proj,314,0,0,0
0,up_proj,315,0,0,0
0,up_proj,316,0,0,0
0,up_proj,317,0,0,0
0,up_proj,318,47,1,1
0,up_proj,319,0,0,0
0,up_proj,320,0,0,0
0,up_proj,321,0,0,0
0,up_proj,322,0,0,0
0,up_proj,323,0,0,0
0,up_proj,324,0,0,0
0,up_proj,325,0,0,0
0,up_proj,326,0,0,0
0,up_proj,327,0,0,0
0,up_proj,328,0,0,0
0,up_proj,329,0,0,0
0,up_proj,330,0,0,0
0,up_proj,331,0,0,0
0,up_proj,332,0,0,0
0,up_proj,333,0,0,0
0,up_proj,334,0,0,0
0,up_proj,335,0,0,0
0,up_proj,336,53,1,1
0,up_proj,337,0,0,0
0,up_proj,338,0,0,0
0,up_proj,339,0,0,0
0,up_proj,340,0,0,0
0,up_proj,341,0,0,0
0,up_proj,342,0,0,0
0,up_proj,343,0,0,0
0,up_proj,344,0,0,0
0,up_proj,345,0,0,0
0,up_proj,346,0,0,0
0,up_proj,347,8,0,0
0,up_proj,348,38,0,1
0,up_proj,349,0,0,0
0,up_proj,350,0,0,0
0,up_proj,351,0,0,0
0,up_proj,352,0,0,0
0,up_proj,353,0,0,0
0,up_proj,354,0,0,0
0,up_proj,355,0,0,0
0,up_proj,356,0,0,0
0,up_proj,357,0,0,0
0,up_proj,358,0,0,0
0,up_proj,359,0,0,0
0,up_proj,360,0,0,0
0,up_proj,361,0,0,0
0,up_proj,362,0,0,0
0,up_proj,363,0,0,0
0,up_proj,364,0,0,0
0,up_proj,365,0,0,0
0,up_proj,366,0,0,0
0,up_proj,367,0,0,0
0,up_proj,368,0,0,0
0,up_proj,369,0,0,0
0,up_proj,370,0,0,0
0,up_proj,371,0,0,0
0,up_proj,372,0,0,0
0,up_proj,373,0,0,0
0,up_proj,374,0,0,0
0,up_proj,375,0,0,0
0,up_proj,376,0,0,0
0,up_proj,377,4,0,0
0,up_proj,378,0,0,0
0,up_proj,379,0,0,0
0,up_proj,380,0,0,0
0,up_proj,381,0,0,0
0,up_proj,382,16,1,0
0,up_proj,383,0,0,0
0,up_proj,384,0,0,0
0,up_proj,385,0,0,0
0,up_proj,386,19,1,0
0,up_proj,387,0,0,0
0,up_proj,388,0,0,0
0,up_proj,389,0,0,0
0,up_proj,390,0,0,0
0,up_proj,391,0,0,0
0,up_proj,392,0,0,0
0,up_proj,393,0,0,0
0,up_proj,394,0,0,0
0,up_proj,395,1,0,0
0,up_proj,396,0,0,0
0,up_proj,397,0,0,0
0,up_proj,398,0,0,0
0,up_proj,399,0,0,0
0,up_proj,400,0,0,0
0,up_proj,401,0,0,0
0,up_proj,402,0,0,0
0,up_proj,403,0,0,0
0,up_proj,404,0,0,0
0,up_proj,405,0,0,0
0,up_proj,406,0,0,0
0,up_proj,407,0,0,0
0,up_proj,408,0,0,0
0,up_proj,409,0,0,0
0,up_proj,410,0,0,0
0,up_proj,411,0,0,0
0,up_proj,412,0,0,0
0,up_proj,413,26,0,0
0,up_proj,414,0,0,0
0,up_proj,415,0,0,0
0,up_proj,416,0,0,0
0,up_proj,417,0,0,0
0,up_proj,418,0,0,0
0,up_proj,419,0,0,0
0,up_proj,420,0,0,0
0,up_proj,421,0,0,0
0,up_proj,422,0,0,0
0,up_proj,423,0,0,0
0,up_proj,424,0,0,0
0,up_proj,425,0,0,0
0,up_proj,426,0,0,0
0,up_proj,427,24,1,0
0,up_proj,428,0,0,0
0,up_proj,429,0,0,0
0,up_proj,430,0,0,0
0,up_proj,431,0,0,0
0,up_proj,432,0,0,0
0,up_proj,433,0,0,0
0,up_proj,434,0,0,0
0,up_proj,435,0,0,0
0,up_proj,436,0,0,0
0,up_proj,437,0,0,0
0,up_proj,438,0,0,0
0,up_proj,439,0,0,0
0,up_proj,440,0,0,0
0,up_proj,441,0,0,0
0,up_proj,442,0,0,0
0,up_proj,443,0,0,0
0,up_proj,444,0,0,0
0,up_proj,445,0,0,0
0,up_proj,446,0,0,0
0,up_proj,447,0,0,0
0,up_proj,448,0,0,0
0,up_proj,449,0,0,0
0,up_proj,450,0,0,0
0,up_proj,451,0,0,0
0,up_proj,452,0,0,0
0,up_proj,453,0,0,0
0,up_proj,454,0,0,0
0,up_proj,455,0,0,0
0,up_proj,456,0,0,0
0,up_proj,457,0,0,0
0,up_proj,458,0,0,0
0,up_proj,459,0,0,0
0,up_proj,460,0,0,0
0,up_proj,461,0,0,0
0,up_proj,462,0,0,0
0,up_proj,463,0,0,0
0,up_proj,464,0,0,0
0,up_proj,465,0,0,0
0,up_proj,466,0,0,0
0,up_proj,467,0,0,0
0,up_proj,468,0,0,0
0,up_proj,469,9,0,0
0,up_proj,470,40,1,1
0,up_proj,471,0,0,0
0,up_proj,472,0,0,0
0,up_proj,473,0,0,0
0,up_proj,474,0,0,0
0,up_proj,475,38,1,1
0,up_proj,476,0,0,0
0,up_proj,477,0,0,0
0,up_proj,478,0,0,0
0,up_proj,479,0,0,0
0,up_proj,480,0,0,0
0,up_proj,481,0,0,0
0,up_proj,482,0,0,0
0,up_proj,483,0,0,0
0,up_proj,484,0,0,0
0,up_proj,485,0,0,0
0,up_proj,486,0,0,0
0,up_proj,487,0,0,0
0,up_proj,488,0,0,0
0,up_proj,489,0,0,0
0,up_proj,490,0,0,0
0,up_proj,491,0,0,0
0,up_proj,492,0,0,0
0,up_proj,493,0,0,0
0,up_proj,494,0,0,0
0,up_proj,495,0,0,0
0,up_proj,496,0,0,0
0,up_proj,497,0,0,0
0,up_proj,498,0,0,0
0,up_proj,499,0,0,0
0,up_proj,500,0,0,0
0,up_proj,501,0,0,0
0,up_proj,502,0,0,0
0,up_proj,503,0,0,0
0,up_proj,504,0,0,0
0,up_proj,505,42,0,1
0,up_proj,506,0,0,0
0,up_proj,507,0,0,0
0,up_proj,508,0,0,0
0,up_proj,509,0,0,0
0,up_proj,510,0,0,0
0,up_proj,511,2,0,0
0,up_proj,512,0,0,0
0,up_proj,513,64,0,1
0,up_proj,514,0,0,0
0,up_proj,515,0,0,0
0,up_proj,516,28,0,0
0,up_proj,517,0,0,0
0,up_proj,518,0,0,0
0,up_proj,519,0,0,0
0,up_proj,520,29,0,1
0,up_proj,521,0,0,0
0,up_proj,522,0,0,0
0,up_proj,523,1,0,0
0,up_proj,524,0,0,0
0,up_proj,525,0,0,0
0,up_proj,526,0,0,0
0,up_proj,527,0,0,0
0,up_proj,528,0,0,0
0,up_proj,529,0,0,0
0,up_proj,530,0,0,0
0,up_proj,531,0,0,0
0,up_proj,532,9,1,0
0,up_proj,533,0,0,0
0,up_proj,534,0,0,0
0,up_proj,535,58,1,1
0,up_proj,536,0,0,0
0,up_proj,537,0,0,0
0,up_proj,538,0,0,0
0,up_proj,539,0,0,0
0,up_proj,540,0,0,0
0,up_proj,541,9,0,0
0,up_proj,542,0,0,0
0,up_proj,543,0,0,0
0,up_proj,544,0,0,0
0,up_proj,545,0,0,0
0,up_proj,546,0,0,0
0,up_proj,547,0,0,0
0,up_proj,548,0,0,0
0,up_proj,549,0,0,0
0,up_proj,550,0,0,0
0,up_proj,551,0,0,0
0,up_proj,552,0,0,0
0,up_proj,553,0,0,0
0,up_proj,554,0,0,0
0,up_proj,555,0,0,0
0,up_proj,556,0,0,0
0,up_proj,557,0,0,0
0,up_proj,558,48,1,1
0,up_proj,559,0,0,0
0,up_proj,560,0,0,0
0,up_proj,561,0,0,0
0,up_proj,562,0,0,0
0,up_proj,563,63,1,1
0,up_proj,564,0,0,0
0,up_proj,565,0,0,0
0,up_proj,566,0,0,0
0,up_proj,567,0,0,0
0,up_proj,568,0,0,0
0,up_proj,569,0,0,0
0,up_proj,570,0,0,0
0,up_proj,571,0,0,0
0,up_proj,572,0,0,0
0,up_proj,573,0,0,0
0,up_proj,574,0,0,0
0,up_proj,575,0,0,0
0,up_proj,576,0,0,0
0,up_proj,577,0,0,0
0,up_proj,578,0,0,0
0,up_proj,579,0,0,0
0,up_proj,580,0,0,0
0,up_proj,581,0,0,0
0,up_proj,582,50,0,1
0,up_proj,583,0,0,0
0,up_proj,584,0,0,0
0,up_proj,585,0,0,0
0,up_proj,586,0,0,0
0,up_proj,587,0,0,0
0,up_proj,588,0,0,0
0,up_proj,589,0,0,0
0,up_proj,590,0,0,0
0,up_proj,591,0,0,0
0,up_proj,592,0,0,0
0,up_proj,593,0,0,0
0,up_proj,594,0,0,0
0,up_proj,595,0,0,0
0,up_proj,596,0,0,0
0,up_proj,597,0,0,0
0,up_proj,598,0,0,0
0,up_proj,599,0,0,0
0,up_proj,600,0,0,0
0,up_proj,601,0,0,0
0,up_proj,602,0,0,0
0,up_proj,603,0,0,0
0,up_proj,604,0,0,0
0,up_proj,605,0,0,0
0,up_proj,606,0,0,0
0,up_proj,607,0,0,0
0,up_proj,608,0,0,0
0,up_proj,609,0,0,0
0,up_proj,610,0,0,0
0,up_proj,611,0,0,0
0,up_proj,612,0,0,0
0,up_proj,613,11,1,0
0,up_proj,614,0,0,0
0,up_proj,615,0,0,0
0,up_proj,616,0,0,0
0,up_proj,617,0,0,0
0,up_proj,618,0,0,0
0,up_proj,619,0,0,0
0,up_proj,620,0,0,0
0,up_proj,621,0,0,0
0,up_proj,622,0,0,0
0,up_proj,623,0,0,0
0,up_proj,624,0,0,0
0,up_proj,625,0,0,0
0,up_proj,626,0,0,0
0,up_proj,627,0,0,0
0,up_proj,628,0,0,0
0,up_proj,629,0,0,0
0,up_proj,630,0,0,0
0,up_proj,631,0,0,0
0,up_proj,632,0,0,0
0,up_proj,633,58,1,1
0,up_proj,634,0,0,0
0,up_proj,635,0,0,0
0,up_proj,636,0,0,0
0,up_proj,637,0,0,0
0,up_proj,638,0,0,0
0,up_proj,639,0,0,0
0,up_proj,640,0,0,0
0,up_proj,641,0,0,0
0,up_proj,642,47,1,1
0,up_proj,643,0,0,0
0,up_proj,644,0,0,0
0,up_proj,645,0,0,0
0,up_proj,646,0,0,0
0,up_proj,647,0,0,0
0,up_proj,648,0,0,0
0,up_proj,649,0,0,0
0,up_proj,650,0,0,0
0,up_proj,651,0,0,0
0,up_proj,652,0,0,0
0,up_proj,653,0,0,0
0,up_proj,654,0,0,0
0,up_proj,655,5,0,0
0,up_proj,656,0,0,0
0,up_proj,657,0,0,0
0,up_proj,658,0,0,0
0,up_proj,659,0,0,0
0,up_proj,660,0,0,0
0,up_proj,661,0,0,0
0,up_proj,662,0,0,0
0,up_proj,663,0,0,0
0,up_proj,664,0,0,0
0,up_proj,665,0,0,0
0,up_proj,666,0,0,0
0,up_proj,667,0,0,0
0,up_proj,668,0,0,0
0,up_proj,669,0,0,0
0,up_proj,670,0,0,0
0,up_proj,671,0,0,0
0,up_proj,672,0,0,0
0,up_proj,673,6,0,0
0,up_proj,674,10,0,0
0,up_proj,675,0,0,0
0,up_proj,676,16,0,0
0,up_proj,677,0,0,0
0,up_proj,678,0,0,0
0,up_proj,679,0,0,0
0,up_proj,680,0,0,0
0,up_proj,681,0,0,0
0,up_proj,682,35,1,1
0,up_proj,683,8,0,0
0,up_proj,684,0,0,0
0,up_proj,685,0,0,0
0,up_proj,686,0,0,0
0,up_proj,687,0,0,0
0,up_proj,688,0,0,0
0,up_proj,689,0,0,0
0,up_proj,690,0,0,0
0,up_proj,691,0,0,0
0,up_proj,692,0,0,0
0,up_proj,693,0,0,0
0,up_proj,694,0,0,0
0,up_proj,695,0,0,0
0,up_proj,696,0,0,0
0,up_proj,697,0,0,0
0,up_proj,698,0,0,0
0,up_proj,699,0,0,0
0,up_proj,700,0,0,0
0,up_proj,701,0,0,0
0,up_proj,702,0,0,0
0,up_proj,703,0,0,0
0,up_proj,704,0,0,0
0,up_proj,705,0,0,0
0,up_proj,706,0,0,0
0,up_proj,707,0,0,0
0,up_proj,708,0,0,0
0,up_proj,709,0,0,0
0,up_proj,710,0,0,0
0,up_proj,711,0,0,0
0,up_proj,712,0,0,0
0,up_proj,713,0,0,0
0,up_proj,714,0,0,0
0,up_proj,715,0,0,0
0,up_proj,716,0,0,0
0,up_proj,717,36,0,1
0,up_proj,718,0,0,0
0,up_proj,719,0,0,0
0,up_proj,720,0,0,0
0,up_proj,721,0,0,0
0,up_proj,722,0,0,0
0,up_proj,723,0,0,0
0,up_proj,724,0,0,0
0,up_proj,725,0,0,0
0,up_proj,726,0,0,0
0,up_proj,727,0,0,0
0,up_proj,728,0,0,0
0,up_proj,729,0,0,0
0,up_proj,730,0,0,0
0,up_proj,731,0,0,0
0,up_proj,732,0,0,0
0,up_proj,733,0,0,0
0,up_proj,734,0,0,0
0,up_proj,735,0,0,0
0,up_proj,736,0,0,0
0,up_proj,737,0,0,0
0,up_proj,738,0,0,0
0,up_proj,739,0,0,0
0,up_proj,740,0,0,0
0,up_proj,741,0,0,0
0,up_proj,742,0,0,0
0,up_proj,743,0,0,0
0,up_proj,744,0,0,0
0,up_proj,745,0,0,0
0,up_proj,746,0,0,0
0,up_proj,747,0,0,0
0,up_proj,748,0,0,0
0,up_proj,749,0,0,0
0,up_proj,750,0,0,0
0,up_proj,751,0,0,0
0,up_proj,752,0,0,0
0,up_proj,753,0,0,0
0,up_proj,754,0,0,0
0,up_proj,755,0,0,0
0,up_proj,756,0,0,0
