variant,repeat,disable_gateup_duquant,moe_outlier_topk,moe_outlier_quant,moe_outlier_score,status,wikitext2,c4,smooth_seconds,duquant_seconds,calibration_seconds,inference_wikitext2_seconds,inference_c4_seconds,elapsed_seconds,plan_path,output_dir,run_log,rank_log
"full_duquant","1","0","0","same","none","run_failed_2","","","","","","","","4","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/full_duquant/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/full_duquant/repeat_1/run.log",""
"no_gateup_no_ose","1","1","0","same","none","run_failed_2","","","","","","","","3","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/no_gateup_no_ose/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/no_gateup_no_ose/repeat_1/run.log",""
"ours_ose_w8a8","1","1","64","w8a8","smooth_scale","run_failed_141","","","43.182392","493.072625","536.265785","","","701","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/ours_ose_w8a8/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/ours_ose_w8a8/repeat_1/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/ours_ose_w8a8/repeat_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784468077.txt"
"ours_ose_fp16","1","1","64","fp16","smooth_scale","run_failed_141","","","","","","","","10","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/ours_ose_fp16/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/ours_ose_fp16/repeat_1/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/ours_ose_fp16/repeat_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784468778.txt"
"full_duquant","2","0","0","same","none","run_failed_141","","","","","","","","2","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/full_duquant/repeat_2/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_20260719_213427/full_duquant/repeat_2/run.log",""
