variant,ok_repeats,wikitext2_median,wikitext2_mean,wikitext2_std,c4_median,c4_mean,c4_std,smooth_seconds_median,smooth_seconds_mean,smooth_seconds_std,duquant_seconds_median,duquant_seconds_mean,duquant_seconds_std,calibration_seconds_median,calibration_seconds_mean,calibration_seconds_std,inference_wikitext2_seconds_median,inference_wikitext2_seconds_mean,inference_wikitext2_seconds_std,inference_c4_seconds_median,inference_c4_seconds_mean,inference_c4_seconds_std,elapsed_seconds_median,elapsed_seconds_mean,elapsed_seconds_std
full_duquant,3,7.300654,7.300654,0.000000,11.562039,11.562039,0.000000,41.685308,41.492385,0.413708,693.898983,694.165557,3.085706,735.685061,735.666452,2.743185,215.516188,214.703111,2.374388,394.330809,393.443296,4.524042,1366.000000,1364.333333,10.598742
no_gateup_no_ose,3,7.474800,7.474800,0.000000,11.700516,11.700516,0.000000,41.403423,41.372662,0.718070,437.272400,438.825345,6.322004,478.683129,480.205146,7.019587,181.480213,181.878425,2.511233,331.437758,333.045201,4.287658,1014.000000,1013.333333,14.011900
ours_ose_fp16,3,7.225017,7.225017,0.000000,11.453523,11.453523,0.000000,42.251923,41.739006,1.678762,490.123066,491.222618,5.426534,529.993497,532.972179,6.317696,199.390102,200.236966,2.596381,364.506291,365.449042,4.708377,1111.000000,1117.333333,14.571662
ours_ose_w8a8,3,7.213686,7.213686,0.000000,11.451032,11.451032,0.000000,41.777357,42.161613,0.840268,499.760565,499.141908,4.653907,541.349707,541.311966,3.946948,260.099964,258.585941,2.717763,470.451574,470.328868,3.689559,1292.000000,1286.666667,9.237604
