label,route_alpha,score_transform,input_score_coef,down_score_coef,weight_score_coef,weight_score_projs,tier_quants,tier_fractions,actual_avg_sum_bits,status,wikitext2,c4,calibration_seconds,duquant_seconds,inference_wikitext2_seconds,inference_c4_seconds,plan_path,output_dir,case_log
"route_range","1.0","raw","1.0","1.0","1.0","gate_proj,up_proj,down_proj","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","12.0","ok","6.9023637771606445","11.131814002990723","527.194570","485.340355","249.086247","458.289527","/home/lwk/HeteroQuant_Repro/experiments/route_range_vs_range_olmoe_ppl_20260715_203839/route_range/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_vs_range_olmoe_ppl_20260715_203839/route_range/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_vs_range_olmoe_ppl_20260715_203839/route_range/run.log"
"range","0.0","raw","1.0","1.0","1.0","gate_proj,up_proj,down_proj","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","12.0","ok","6.969151973724365","11.159493446350098","532.020684","490.222282","254.398913","461.810665","/home/lwk/HeteroQuant_Repro/experiments/route_range_vs_range_olmoe_ppl_20260715_203839/range/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_vs_range_olmoe_ppl_20260715_203839/range/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_vs_range_olmoe_ppl_20260715_203839/range/run.log"
