main_weight_group_size,num_cases,speedup_min,speedup_median,speedup_mean,speedup_max,E1_speedup_median
1,1,1.576515,1.576515,1.576515,1.576515,1.576515
2048,1,1.266356,1.266356,1.266356,1.266356,1.266356
