label,method,model_name,model_path,wbits,abits,total_wa_bits,router_wbits,router_abits,weight_channel_group_size,router_weight_channel_group_size,test_dataset,status,wikitext2,c4,calibration_seconds,smooth_seconds,duquant_seconds,inference_wikitext2_seconds,inference_c4_seconds,output_dir,rank_log,run_log
"a8w2","eaquant","olmoe","/home/lwk/HeteroQuant_Repro/local_models/olmoe_compat","2","8","10","8","8","1","1","wikitext2,c4","ok","43.83842468261719","50.048973083496094","1032.380361","201.511603","830.855641","216.283702","393.634940","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a8w2/output","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a8w2/output/olmoe_compat_w2a8_Rw8a8/log_rank0_1784867661.txt","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a8w2/run.log"
"a7w3","eaquant","olmoe","/home/lwk/HeteroQuant_Repro/local_models/olmoe_compat","3","7","10","8","8","1","1","wikitext2,c4","ok","8.268599510192871","12.247729301452637","1057.462075","203.603243","853.850772","225.579412","405.672126","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a7w3/output","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a7w3/output/olmoe_compat_w3a7_Rw8a8/log_rank0_1784869388.txt","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a7w3/run.log"
"a6w4","eaquant","olmoe","/home/lwk/HeteroQuant_Repro/local_models/olmoe_compat","4","6","10","8","8","1","1","wikitext2,c4","ok","7.345682621002197","11.45380687713623","1051.335925","219.870218","831.454278","257.423946","423.291978","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a6w4/output","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a6w4/output/olmoe_compat_w4a6_Rw8a8/log_rank0_1784871123.txt","/home/lwk/HeteroQuant_Repro/experiments/olmoe_eaquant_aw10_bitsplit_ppl_20260724_123418/a6w4/run.log"
