layer,max_norm_exposure,min_norm_exposure,cv_norm_exposure,top10_mean_norm_exposure,bottom10_mean_norm_exposure
0,3.8382662564197174,0.04380410716403854,0.5401617664425918,1.870332337529278,0.3330232030336766
4,3.3420992990337255,0.04134365601958413,0.5613296089886282,1.9251417635594201,0.2335149489103438
6,4.064081519517882,0.028183608076038494,0.6275541052370414,1.9397346487681602,0.19881367900483587
12,3.5648437288515185,0.12338388663523879,0.5074764829183726,1.7838308552464266,0.36721307418793453
15,3.2322876745612517,0.030692335389747298,0.5863044090886658,1.9284600815855775,0.2450219475683022
