preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.872496,0.871391,0.875864,0.177788,1.000000,0.732532,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.639131,0.638837,0.639412,0.000690,1.365129,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.743031,0.742443,0.743197,0.000454,1.174239,0.860167,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,2,2,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.849767,0.849446,0.863908,0.108958,1.000000,0.749328,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,2,2,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.636754,0.635888,0.636768,0.002223,1.334530,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,2,2,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.738255,0.737243,0.739156,0.001593,1.151048,0.862512,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,4,4,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.850734,0.849930,0.851276,0.001624,1.000000,0.754506,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,4,4,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.641884,0.640835,0.642931,0.029389,1.325370,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,4,4,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.739552,0.737503,0.740846,0.003301,1.150337,0.867936,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,8,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.850956,0.850297,0.852155,0.001144,1.000000,0.755910,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,8,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.643246,0.642246,0.643953,0.001186,1.322909,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,8,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.744846,0.743782,0.745415,0.001069,1.142459,0.863596,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,16,16,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.876237,0.876164,0.877372,0.001927,1.000000,0.732277,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,16,16,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.641648,0.641241,0.642074,0.001185,1.365604,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,16,16,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.740309,0.739488,0.741719,0.002042,1.183610,0.866730,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,32,32,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.854817,0.854523,0.855558,0.001131,1.000000,0.750672,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,32,32,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.641687,0.641506,0.642684,0.000824,1.332140,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,32,32,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.749429,0.749249,0.749434,0.019169,1.140624,0.856235,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,8,1,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.872321,0.871196,0.886493,0.012671,1.000000,0.733728,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,8,1,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.640046,0.639171,0.640911,0.008643,1.362904,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,8,1,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.748984,0.743583,0.749243,0.006137,1.164672,0.854552,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
