metric,actual_avg_sum_bits,status,wikitext2,c4,calibration_seconds,duquant_seconds,inference_wikitext2_seconds,inference_c4_seconds,plan_path,output_dir,run_log
"residual_qerr_gain","12.0","ok","7.144928932189941","11.330777168273926","530.960841","488.856062","248.802369","460.741516","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/plans/moe_quant_plan_residual_qerr_gain.json","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/residual_qerr_gain/output","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/residual_qerr_gain/run.log"
"residual_qerr","12.0","ok","7.144479274749756","11.328033447265625","539.239224","496.285827","251.905738","459.986932","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/plans/moe_quant_plan_residual_qerr.json","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/residual_qerr/output","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/residual_qerr/run.log"
"kurtosis","12.0","ok","7.018791198730469","11.202122688293457","532.102448","487.444854","248.123751","453.326249","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/plans/moe_quant_plan_kurtosis.json","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/kurtosis/output","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/kurtosis/run.log"
"route","12.0","ok","6.922035217285156","11.186345100402832","523.912393","483.480467","245.431215","454.102015","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/plans/moe_quant_plan_route.json","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/route/output","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/route/run.log"
"tail","12.0","ok","7.008150577545166","11.252447128295898","536.536725","494.990832","252.958728","461.285993","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/plans/moe_quant_plan_tail.json","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/tail/output","/home/lwk/HeteroQuant_Repro/experiments/metric_ablation_olmoe_ppl_20260714_175423/tail/run.log"
