preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.886496,0.883115,0.889877,0.004782,1.000000,0.750599,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.665403,0.664971,0.665835,0.000611,1.332269,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.776368,0.772160,0.780576,0.005951,1.141850,0.857072,1.464844e-03,5.669068e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.217483,0.215221,0.219744,0.003198,4.076162,3.059563,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.249104,0.247189,0.251019,0.002708,3.558739,2.671186,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
