label,model_name,model_path,metric,tier_quants,tier_fractions,moe_outlier_topk,moe_outlier_quant,moe_outlier_score,weight_channel_group_size,router_weight_channel_group_size,status,wikitext2,c4,acc_avg,arc_challenge,arc_easy,boolq,openbookqa,piqa,winogrande,plan_path,output_dir,plan_log,run_log
"olmoe_final_routed_tail_group2048","olmoe","/home/lwk/HeteroQuant_Repro/local_models/olmoe_compat","routed_tail","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","64","w8a8","smooth_scale","2048","2048","ok","7.213685989379883","11.451031684875488","0.645657569574461","0.48293515358361777","0.7680976430976431","0.6859327217125383","0.452","0.7872687704026116","0.6977111286503551","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/olmoe_final_routed_tail_group2048/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/olmoe_final_routed_tail_group2048/output","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/olmoe_final_routed_tail_group2048/plan.log","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/olmoe_final_routed_tail_group2048/run.log"
"qwen_final_routed_tail_group2048","qwen2_moe","/home/lwk/HeteroQuant_Repro/local_models/Qwen1.5-MoE-A2.7B","routed_tail","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","64","w8a8","smooth_scale","2048","2048","ok","8.249044418334961","10.70449447631836","0.6392333808418726","0.4283276450511945","0.7196969696969697","0.7779816513761468","0.454","0.7916213275299239","0.6637726913970008","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/qwen_final_routed_tail_group2048/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/qwen_final_routed_tail_group2048/output","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/qwen_final_routed_tail_group2048/plan.log","/home/lwk/HeteroQuant_Repro/experiments/final_routed_tail_downstream_group2048_20260717_213819/qwen_final_routed_tail_group2048/run.log"
