layer,max_norm,min_norm,cv_norm,top10_mean,bottom10_mean
0,3.8382662564197174,0.04380410716403854,0.5401617664425918,1.870332337529278,0.3330232030336766
1,2.317253962848257,0.08312702713600667,0.4048087807030154,1.701624275121458,0.5132541279801348
2,2.0554922962029574,0.03530376665323533,0.38825675948261357,1.6269916078938014,0.42924215618538836
3,2.028982124897069,0.13631361696309163,0.4685045233823676,1.7773352082084095,0.28867093011045275
4,3.3420992990337255,0.04134365601958413,0.5613296089886282,1.9251417635594201,0.2335149489103438
5,2.731942025440201,0.026963913847692894,0.5643102489847199,2.033561843715132,0.30719508087151726
6,4.064081519517882,0.028183608076038494,0.6275541052370414,1.9397346487681602,0.19881367900483587
7,2.368428479449715,0.006150452854197699,0.5293027076731764,1.8616971612498532,0.2670678812050903
8,2.4611861674319444,0.05286411913644818,0.5300902215647657,1.8824427581199832,0.24578417149897178
9,2.7199005914608465,0.009773334730528029,0.4855898762573484,1.7332828479762246,0.28540148087306905
10,2.60129288816676,0.03687912869297931,0.46578606772774006,1.756553418612489,0.32825657670464736
11,2.076696556221631,0.0355899062218049,0.47991139133898575,1.7492985518559976,0.2962214636238011
12,3.5648437288515185,0.12338388663523879,0.5074764829183726,1.7838308552464266,0.36721307418793453
13,2.199126721093619,0.12766661354444836,0.448714897064885,1.7045447822944528,0.37639072096303017
14,2.52310929130157,0.028212383492012886,0.5153433601100282,1.8334303984828417,0.2977726549527119
15,3.2322876745612517,0.030692335389747298,0.5863044090886658,1.9284600815855775,0.2450219475683022
