preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.857322,0.855667,0.967825,0.064281,1.000000,0.748835,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.641993,0.641629,0.642086,0.001730,1.335407,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.745756,0.743814,0.745902,0.001766,1.149601,0.860862,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,2,2,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.856446,0.854077,0.863787,0.011318,1.000000,0.749621,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,2,2,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.642010,0.641219,0.642699,0.031390,1.334007,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,2,2,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.744042,0.742111,0.745821,0.003722,1.151072,0.862868,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,4,4,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.853789,0.853394,0.854792,0.001097,1.000000,0.747445,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,4,4,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.638160,0.637347,0.638612,0.000812,1.337892,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,4,4,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.738952,0.738522,0.740391,0.001261,1.155405,0.863601,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,8,8,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.852120,0.851231,0.862444,0.008607,1.000000,0.758844,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,8,8,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.646626,0.646223,0.646880,0.053438,1.317794,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,8,8,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.744247,0.743303,0.744363,0.001469,1.144942,0.868833,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,16,16,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.860310,0.858629,0.860684,0.022459,1.000000,0.753315,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
