preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype,routed_token_experts,main_gemm_macs,gateup_duquant_transform_macs,common_down_duquant_transform_macs,ose_branch_macs,total_online_macs_current_layout,total_online_ops_mac2_current_layout,effective_tops_mac2_current_layout,compact_ours_total_macs_if_split_main_columns,duplicate_ose_extra_macs_current_layout,duquant_unique_overhead_macs_per_routed_token,ose_unique_overhead_macs_per_routed_token,unique_overhead_reduction_duquant_vs_ose,estimated_kernel_launches,main_qparam_groups_per_expert,main_qparam_groups_active_experts,main_qparam_groups_all_model_experts,main_qparam_bytes_active_experts,main_qparam_bytes_all_model_experts,main_qparam_reduction_vs_per_channel,main_int8_weight_bytes_per_expert,ose_duplicate_int8_weight_bytes_per_expert_current_layout,ose_duplicate_weight_overhead_ratio_current_layout
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.857322,0.855667,0.967825,0.064281,1.000000,0.748835,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,7077888,14155776,0.016512,6553600,0,524288,131072,4.000000,12,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.641993,0.641629,0.642086,0.001730,1.335407,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,6553600,13107200,0.020416,6553600,0,524288,131072,4.000000,9,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.745756,0.743814,0.745902,0.001766,1.149601,0.860862,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,6684672,13369344,0.017927,6553600,131072,524288,131072,4.000000,10,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,duquant_once,1,2,2,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.856446,0.854077,0.863787,0.011318,1.000000,0.749621,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,14155776,28311552,0.033057,13107200,0,524288,131072,4.000000,12,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,2,2,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.642010,0.641219,0.642699,0.031390,1.334007,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,13107200,26214400,0.040832,13107200,0,524288,131072,4.000000,9,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,2,2,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.744042,0.742111,0.745821,0.003722,1.151072,0.862868,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,13369344,26738688,0.035937,13107200,262144,524288,131072,4.000000,10,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,duquant_once,1,4,4,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.853789,0.853394,0.854792,0.001097,1.000000,0.747445,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,28311552,56623104,0.066320,26214400,0,524288,131072,4.000000,12,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,4,4,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.638160,0.637347,0.638612,0.000812,1.337892,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,26214400,52428800,0.082156,26214400,0,524288,131072,4.000000,9,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,4,4,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.738952,0.738522,0.740391,0.001261,1.155405,0.863601,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,26738688,53477376,0.072369,26214400,524288,524288,131072,4.000000,10,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
olmoe,duquant_once,1,8,8,2048,1024,64,8,64,1024,1,1024,1024,128,2,1,1,0.852120,0.851231,0.862444,0.008607,1.000000,0.758844,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,8,50331648,4194304,2097152,1048576,56623104,113246208,0.132899,52428800,0,524288,131072,4.000000,12,4,4,256,16,1024,1024.000000,6291456,131072,0.020833
