label,target_avg_sum_bits,tier_quants,tier_fractions,metric,moe_outlier_topk,moe_outlier_quant,moe_outlier_score,weight_channel_group_size,router_weight_channel_group_size,status,wikitext2,c4,acc_avg,arc_challenge,arc_easy,boolq,openbookqa,piqa,winogrande,actual_avg_sum_bits,plan_path,output_dir,plan_log,run_log
"aw11","11","w4g-1-a4g-1,w4g-1-a8g-1","0.25,0.75","routed_tail","64","w8a8","smooth_scale","2048","2048","ok","8.303295135498047","10.765962600708008","0.6375025923761154","0.4189419795221843","0.7184343434343434","0.7666666666666667","0.456","0.794885745375408","0.67008681925809","11.0","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw11/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw11/output","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw11/plan.log","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw11/run.log"
"aw13","13","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.0625,0.625,0.3125","routed_tail","64","w8a8","smooth_scale","2048","2048","ok","8.24215030670166","10.661438941955566","0.6406913268863167","0.4274744027303754","0.7222222222222222","0.7767584097859327","0.442","0.8008705114254625","0.6748224151539068","12.983333333333333","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13/output","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13/plan.log","/home/lwk/HeteroQuant_Repro/experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13/run.log"
