layer,min_norm,max_norm,std_norm,high_count,low_count
0,0.6424370957439468,1.348525168077197,0.14354128436520566,11,10
1,0.7868239656714752,1.348382553202376,0.12698428602148118,11,9
2,0.8838801064623657,1.2042989146277654,0.07464991082563076,5,0
3,0.8618177679084605,1.4019892452760478,0.09528960444083669,5,1
4,0.9105248306692142,1.245542668374162,0.05316719136058144,2,0
5,0.9116451283339685,1.2029074290519814,0.04902252780815761,2,0
6,0.8981882088078411,1.278861537180365,0.05497989459955607,1,0
7,0.8516669265665401,1.1157523687053497,0.05611314191024438,0,3
8,0.8306477345597063,1.2276943269199145,0.06692726377240835,3,2
9,0.8383224904919083,1.2946527967974621,0.08806262561906271,5,5
10,0.8216610770283549,1.212763851659473,0.07746748452330976,6,3
11,0.8344676882235244,1.2717582334442703,0.07958690105745968,3,5
12,0.8691220016205076,1.1969892173870507,0.07062507578685391,5,2
13,0.8364030188305924,1.1373428961043235,0.0635277185432043,2,2
14,0.8302585699478728,1.1922773760779637,0.06514948190757339,3,2
15,0.7022138579279483,1.2177406116036864,0.11948454002055071,13,11
