model,metric,zoom_layer,zoom_layer_std,zoom_layer_min,zoom_layer_max
OLMoE,Tail,0,0.14354128436520566,0.6424370957439468,1.348525168077197
OLMoE,Range,1,0.7293787430234627,0.4480265043231114,5.198947805711306
Qwen,Tail,0,0.15214693869543927,0.8053411661670997,1.4582707298817794
Qwen,Range,1,1.2003358439936915,0.4727478982874891,8.036095004067976
