group_size,mean_operator_speedup_vs_group1,mean_qparam_group_reduction_vs_group1,num_cases
1,1.000000,1.000000,1
16,0.986424,16.000000,1
32,1.095031,32.000000,1
64,1.009216,64.000000,1
128,1.090429,128.000000,1
256,1.045962,256.000000,1
512,2.303224,512.000000,1
1024,1.029541,1024.000000,1
2048,0.978314,1365.333333,1
