scope,preset,variant,active_experts,tokens_per_expert,total_routed_tokens,total_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
routed_moe_layer,olmoe,ours_ose_w8a8,1,32,32,4,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.942570,0.942084,0.945314,0.012258,1.121467,0.906226,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,8,1,8,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.049850,1.048704,1.050961,0.009055,1.000000,0.801142,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,8,1,8,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.841079,0.839699,0.842774,0.002012,1.248218,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,8,1,8,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.948487,0.948164,0.953296,0.003270,1.106868,0.886759,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,8,2,16,2,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.052451,1.052007,1.056796,0.013744,1.000000,0.794951,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,8,2,16,2,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.836647,0.836105,0.837648,0.000956,1.257939,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,8,2,16,2,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.948258,0.947780,0.949228,0.007391,1.109878,0.882299,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,8,4,32,4,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.061767,1.060286,1.079626,0.237481,1.000000,0.795419,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,8,4,32,4,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.844550,0.843415,0.844659,0.006699,1.257199,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,8,4,32,4,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.941272,0.939889,0.945236,0.013109,1.128013,0.897243,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
