preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype,routed_token_experts,main_gemm_macs,gateup_duquant_transform_macs,common_down_duquant_transform_macs,ose_branch_macs,total_online_macs_current_layout,total_online_ops_mac2_current_layout,effective_tops_mac2_current_layout,compact_ours_total_macs_if_split_main_columns,duplicate_ose_extra_macs_current_layout,duquant_unique_overhead_macs_per_routed_token,ose_unique_overhead_macs_per_routed_token,unique_overhead_reduction_duquant_vs_ose,estimated_kernel_launches,main_qparam_groups_per_expert,main_qparam_groups_active_experts,main_qparam_groups_all_model_experts,main_qparam_bytes_active_experts,main_qparam_bytes_all_model_experts,main_qparam_reduction_vs_per_channel,main_int8_weight_bytes_per_expert,ose_duplicate_int8_weight_bytes_per_expert_current_layout,ose_duplicate_weight_overhead_ratio_current_layout
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.880609,0.880464,0.898628,0.267663,1.000000,0.732445,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,7077888,14155776,0.016075,6553600,0,524288,131072,4.000000,12,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.644998,0.644530,0.645016,0.000347,1.365290,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,6553600,13107200,0.020321,6553600,0,524288,131072,4.000000,9,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.748326,0.746036,0.749885,0.002648,1.176772,0.861921,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,6684672,13369344,0.017866,6553600,131072,524288,131072,4.000000,10,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,duquant_once,1,2,2,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.851846,0.851821,0.852148,0.000524,1.000000,0.754291,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,14155776,28311552,0.033236,13107200,0,524288,131072,4.000000,12,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,2,2,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.642540,0.642319,0.642856,0.000970,1.325748,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,13107200,26214400,0.040798,13107200,0,524288,131072,4.000000,9,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,2,2,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.744418,0.743662,0.746872,0.002212,1.144311,0.863144,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,13369344,26738688,0.035919,13107200,262144,524288,131072,4.000000,10,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,duquant_once,1,4,4,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.855810,0.855732,0.855847,0.000136,1.000000,0.756031,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,28311552,56623104,0.066163,26214400,0,524288,131072,4.000000,12,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,4,4,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.647019,0.646870,0.648004,0.000672,1.322697,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,26214400,52428800,0.081031,26214400,0,524288,131072,4.000000,9,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,4,4,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.750665,0.749760,0.751534,0.001852,1.140069,0.861928,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,26738688,53477376,0.071240,26214400,524288,524288,131072,4.000000,10,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
olmoe,duquant_once,1,8,8,2048,1024,64,8,64,256,1,256,256,128,2,1,1,0.880402,0.874958,0.881538,0.044010,1.000000,0.732211,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,8,50331648,4194304,2097152,1048576,56623104,113246208,0.128630,52428800,0,524288,131072,4.000000,12,16,16,1024,64,4096,256.000000,6291456,131072,0.020833
