ose_topk,active_experts,tokens_per_expert,total_tokens,duquant_once_ms,plain_no_ose_ms,ours_ose_w8a8_ms,speedup_over_duquant_once,ours_latency_std_ms
128,8,16,16,1.070568,0.849158,0.951812,1.124768,0.008719
128,8,32,32,1.068876,0.859248,0.949571,1.125641,0.005799
128,16,1,2,1.095410,1.000188,1.130897,0.968620,0.119243
128,16,2,4,1.068596,0.850383,0.947688,1.127582,0.014119
128,16,4,8,1.067367,0.849480,0.980470,1.088628,0.020270
128,16,8,16,1.059216,0.838622,0.942677,1.123626,0.125341
128,16,16,32,1.058355,0.840704,0.953945,1.109451,0.003646
128,16,32,64,1.063187,0.847009,0.955278,1.112961,0.031135
128,64,1,8,1.109123,1.113800,1.162056,0.954449,0.045139
128,64,2,16,1.160275,1.134587,1.169907,0.991767,0.069197
128,64,4,32,1.200355,1.130061,1.249296,0.960825,0.125797
128,64,8,64,1.305287,1.190754,1.263548,1.033033,0.174735
128,64,16,128,1.295419,1.237046,1.303430,0.993854,0.059615
128,64,32,256,1.579567,1.384304,1.575902,1.002326,0.063704
256,1,1,1,1.056103,0.839380,0.944824,1.117777,0.019111
256,1,2,1,1.057565,0.842664,0.939263,1.125952,0.008423
256,1,4,1,1.055824,0.843220,0.948750,1.112858,0.006317
256,1,8,1,1.062424,0.840832,0.950538,1.117708,0.024213
256,1,16,2,1.059133,0.835097,0.942317,1.123967,0.018582
256,1,32,4,1.057061,0.854181,0.942570,1.121467,0.012258
256,8,1,1,1.049850,0.841079,0.948487,1.106868,0.003270
256,8,2,2,1.052451,0.836647,0.948258,1.109878,0.007391
256,8,4,4,1.061767,0.844550,0.941272,1.128013,0.013109
256,8,8,8,1.056343,0.854254,0.943515,1.119583,0.001859
256,8,16,16,1.060062,0.841912,0.948359,1.117786,0.012918
256,8,32,32,1.062090,0.836139,0.950773,1.117081,0.024031
256,16,1,2,1.057057,0.843694,0.952812,1.109408,0.011930
256,16,2,4,1.051121,0.836796,0.936345,1.122579,0.016408
256,16,4,8,1.053317,0.841201,0.948820,1.110134,0.002605
256,16,8,16,1.049706,0.835648,0.942809,1.113381,0.002377
256,16,16,32,1.050422,0.839370,0.936274,1.121917,0.012723
256,16,32,64,1.067865,0.840434,0.965663,1.105836,0.012005
256,64,1,8,1.068678,1.114271,1.197760,0.892230,0.015981
256,64,2,16,1.214954,1.137710,1.203142,1.009818,0.007779
256,64,4,32,1.205021,1.130466,1.256407,0.959101,0.056538
256,64,8,64,1.274804,1.173875,1.352315,0.942683,0.135826
256,64,16,128,1.431713,1.256433,1.459148,0.981198,0.049306
256,64,32,256,1.572815,1.408044,1.696353,0.927174,0.089940
