Method,MAC_per_routed_token_expert,MAC speedup vs DuQuant,E=1 Med ms,E=1 speedup vs DuQuant,E=8 Med ms,E=8 speedup vs DuQuant,E=16 Med ms,E=16 speedup vs DuQuant,E=64 Med ms,E=64 speedup vs DuQuant
DuQuant,7077888,1.000000,1.056250,1.000000,1.058511,1.000000,1.053275,1.000000,1.209987,1.000000
Ours k=16,6586368,1.074627,0.938894,1.124994,0.946224,1.118669,0.939239,1.121413,1.158314,1.044611
Ours k=32,6619136,1.069307,0.946873,1.115514,0.939538,1.126629,0.946838,1.112413,1.198440,1.009635
Ours k=64,6684672,1.058824,0.947638,1.114613,0.949669,1.114610,0.950551,1.108068,1.111277,1.088826
Ours k=128,6815744,1.038462,0.953884,1.107315,0.952134,1.111725,0.954611,1.103355,1.256422,0.963042
Ours k=256,7077888,1.000000,0.943697,1.119268,0.948308,1.116210,0.945815,1.113616,1.304361,0.927647
