scope,preset,variant,active_experts,tokens_per_expert,total_routed_tokens,total_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
routed_moe_layer,olmoe,duquant_once,8,1,8,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,1.307936,1.065312,1.550560,0.343122,1.000000,0.643236,9.038002e-06,2.243275e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,8,1,8,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.841312,0.821216,0.861408,0.028420,1.554638,1.000000,1.192093e-07,1.128617e-05,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,8,1,8,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.982043,0.972064,0.992021,0.014112,1.331852,0.856696,1.559380e-03,4.426835e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
