source_type,timestamp_readable,category,label,model,metric,quant_desc,aw_bits,weight_group,router_weight_group,ose_topk,ose_quant,ose_score,disable_gateup_duquant,tier_quants,tier_fractions,wikitext2,c4,acc_avg,avg_no_obqa,arc_challenge,arc_easy,boolq,openbookqa,piqa,winogrande,status,experiment,source_file,run_log,rank_log
rank_log,2026-07-17 11:27:00,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,16,16,64,w8a8,smooth_scale,True,,,6.916050910949707,11.187454223632812,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_16,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784257560.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784257560.txt
rank_log,2026-07-16 12:29:46,ad_hoc_ppl_only,output,olmoe,route_range,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,7.227738857269287,11.513185501098633,,,,,,,,,ok_ppl_only,experiments/metric_ablation_olmoe_ppl_group2048_20260716_101427/route_range,experiments/metric_ablation_olmoe_ppl_group2048_20260716_101427/route_range/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784174955.txt,,experiments/metric_ablation_olmoe_ppl_group2048_20260716_101427/route_range/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784174955.txt
rank_log,2026-07-16 13:38:32,ad_hoc_ppl_only,output,olmoe,,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,7.438573360443115,11.657211303710938,,,,,,,,,ok_ppl_only,experiments/metric_ablation_olmoe_ppl_group2048_20260716_101427/residual_qerr_gain,experiments/metric_ablation_olmoe_ppl_group2048_20260716_101427/residual_qerr_gain/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784179051.txt,,experiments/metric_ablation_olmoe_ppl_group2048_20260716_101427/residual_qerr_gain/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784179051.txt
rank_log,2026-07-16 17:36:28,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,0,w8a8,smooth_scale,True,,,7.473001956939697,11.702524185180664,,,,,,,,,ok_ppl_only,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_0,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_0/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784193572.txt,,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_0/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784193572.txt
rank_log,2026-07-16 17:59:01,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,16,w8a8,smooth_scale,True,,,7.329023838043213,11.534329414367676,,,,,,,,,ok_ppl_only,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_16,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784194699.txt,,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784194699.txt
rank_log,2026-07-16 18:21:56,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,32,w8a8,smooth_scale,True,,,7.307633876800537,11.515029907226562,,,,,,,,,ok_ppl_only,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_32,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_32/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784196057.txt,,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_32/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784196057.txt
rank_log,2026-07-16 19:07:42,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,128,w8a8,smooth_scale,True,,,7.254205226898193,11.480993270874023,,,,,,,,,ok_ppl_only,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_128,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_128/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784198827.txt,,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_128/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784198827.txt
rank_log,2026-07-16 19:30:57,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,256,w8a8,smooth_scale,True,,,7.253876686096191,11.45203685760498,,,,,,,,,ok_ppl_only,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_256,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_256/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784200178.txt,,experiments/ose_topk_routed_tail_olmoe_ppl_group2048_20260716_171710/topk_256/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784200178.txt
rank_log,2026-07-16 22:06:29,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,0,same,smooth_scale,True,,,7.473001956939697,11.702524185180664,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/component/allocation_only,experiments/remaining_ablation_suite_20260716_210440/component/allocation_only/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784209770.txt,,experiments/remaining_ablation_suite_20260716_210440/component/allocation_only/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784209770.txt
rank_log,2026-07-16 22:30:11,ad_hoc_ppl_only,output,olmoe,random,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,7.332934856414795,11.553793907165527,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/component/ose_random_same_budget,experiments/remaining_ablation_suite_20260716_210440/component/ose_random_same_budget/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784210911.txt,,experiments/remaining_ablation_suite_20260716_210440/component/ose_random_same_budget/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784210911.txt
